rank,code,occupation_classification,occupation,probability
70,11-1011,Management,Chief Executives,0.015
195,11-1021,Management,General and Operations Managers,0.16
124,11-2011,Management,Advertising and Promotions Managers,0.039
61,11-2021,Management,Marketing Managers,0.014
59,11-2022,Management,Sales Managers,0.013
67,11-2031,Management,Public Relations and Fundraising Managers,0.015
401,11-3011,Management,Administrative Services Managers,0.73
118,11-3021,Management,Computer and Information Systems Managers,0.035
152,11-3031,Management,Financial Managers,0.069
107,11-3051,Management,Industrial Production Managers,0.03
111,11-3061,Management,Purchasing Managers,0.03
328,11-3071,Management,Transportation - Storage - and Distribution Managers,0.59
630,11-3111,Management,Compensation and Benefits Managers,0.96
28,11-3121,Management,Human Resources Managers,0.0055
30,11-3131,Management,Training and Development Managers,0.0063
137,11-9013,Management,Farmers - Ranchers - and Other Agricultural Managers,0.047
154,11-9021,Management,Construction Managers,0.071
71,11-9031,Management,Education Administrators - Preschool and Childcare Center/Program,0.015
22,11-9032,Management,Education Administrators - Elementary and Secondary School,0.0046
52,11-9033,Management,Education Administrators - Postsecondary,0.01
78,11-9041,Management,Architectural and Engineering Managers,0.017
162,11-9051,Management,Food Service Managers,0.083
165,11-9071,Management,Gaming Managers,0.091
12,11-9081,Management,Lodging Managers,0.0039
36,11-9111,Management,Medical and Health Services Managers,0.0073
80,11-9121,Management,Natural Sciences Managers,0.018
409,11-9131,Management,Postmasters and Mail Superintendents,0.75
446,11-9141,Management,Property - Real Estate - and Community Association Managers,0.81
33,11-9151,Management,Social and Community Service Managers,0.0067
3,11-9161,Management,Emergency Management Directors,0.003
226,11-9199,Management,Managers - All Other,0.25
675,113-1031,Management,Claims Adjusters - Examiners - and Investigators,0.98
698,113-2053,Management,Insurance Underwriters,0.99
220,13-1011,Business - Financial Operations,Agents and Business Managers of Artists - Performers - and Athletes,0.24
506,13-1021,Business - Financial Operations,Buyers and Purchasing Agents - Farm Products,0.87
237,13-1022,Business - Financial Operations,Wholesale and Retail Buyers - Except Farm Products,0.29
423,13-1023,Business - Financial Operations,Purchasing Agents - Except Wholesale - Retail - and Farm Products,0.77
685,13-1032,Business - Financial Operations,Insurance Appraisers - Auto Damage,0.98
159,13-1041,Business - Financial Operations,Compliance Officers,0.08
321,13-1051,Business - Financial Operations,Cost Estimators,0.57
649,13-1074,Business - Financial Operations,Farm Labor Contractors,0.97
242,13-1078,Business - Financial Operations,Human Resources - Training - and Labor Relations Specialists - All Other,0.31
55,13-1081,Business - Financial Operations,Logisticians,0.012
182,13-1111,Business - Financial Operations,Management Analysts,0.13
121,13-1121,Business - Financial Operations,Meeting - Convention - and Event Planners,0.037
286,13-1141,Business - Financial Operations,Compensation - Benefits - and Job Analysis Specialists,0.47
64,13-1151,Business - Financial Operations,Training and Development Specialists,0.014
337,13-1161,Business - Financial Operations,Market Research Analysts and Marketing Specialists,0.61
216,13-1199,Business - Financial Operations,Business Operations Specialists - All Other,0.23
589,13-2011,Business - Financial Operations,Accountants and Auditors,0.94
541,13-2021,Business - Financial Operations,Appraisers and Assessors of Real Estate,0.9
594,13-2031,Business - Financial Operations,Budget Analysts,0.94
677,13-2041,Business - Financial Operations,Credit Analysts,0.98
217,13-2051,Business - Financial Operations,Financial Analysts,0.23
324,13-2052,Business - Financial Operations,Personal Financial Advisors,0.58
198,13-2061,Business - Financial Operations,Financial Examiners,0.17
126,13-2071,Business - Financial Operations,Credit Counselors,0.04
686,13-2072,Business - Financial Operations,Loan Officers,0.98
586,13-2081,Business - Financial Operations,Tax Examiners and Collectors - and Revenue Agents,0.93
695,13-2082,Business - Financial Operations,Tax Preparers,0.99
245,13-2099,Business - Financial Operations,Financial Specialists - All Other,0.33
69,15-1111,Computer - Mathematical,Computer and Information Research Scientists,0.015
32,15-1121,Computer - Mathematical,Computer Systems Analysts,0.0065
293,15-1131,Computer - Mathematical,Computer Programmers,0.48
130,15-1132,Computer - Mathematical,Software Developers - Applications,0.042
181,15-1133,Computer - Mathematical,Software Developers - Systems Software,0.13
110,15-1141,Computer - Mathematical,Database Administrators,0.03
109,15-1142,Computer - Mathematical,Network and Computer Systems Administrators,0.03
359,15-115,Computer - Mathematical,Computer Support Specialists,0.65
208,15-1179,Computer - Mathematical,Information Security Analysts - Web Developers - and Computer Network Architects,0.21
212,15-1799,Computer - Mathematical,Computer Occupations - All Other,0.22
209,15-2011,Computer - Mathematical,Actuaries,0.21
135,15-2021,Computer - Mathematical,Mathematicians,0.047
117,15-2031,Computer - Mathematical,Operations Research Analysts,0.035
213,15-2041,Computer - Mathematical,Statisticians,0.22
699,15-2091,Computer - Mathematical,Mathematical Technicians,0.99
82,17-1011,Architecture - Engineering,Architects - Except Landscape and Naval,0.018
133,17-1012,Architecture - Engineering,Landscape Architects,0.045
515,17-1021,Architecture - Engineering,Cartographers and Photogrammetrists,0.88
262,17-1022,Architecture - Engineering,Surveyors,0.38
79,17-2011,Architecture - Engineering,Aerospace Engineers,0.017
295,17-2021,Architecture - Engineering,Agricultural Engineers,0.49
120,17-2031,Architecture - Engineering,Biomedical Engineers,0.037
77,17-2041,Architecture - Engineering,Chemical Engineers,0.017
84,17-2051,Architecture - Engineering,Civil Engineers,0.019
214,17-2061,Architecture - Engineering,Computer Hardware Engineers,0.22
172,17-2071,Architecture - Engineering,Electrical Engineers,0.1
98,17-2072,Architecture - Engineering,Electronics Engineers - Except Computer,0.025
81,17-2081,Architecture - Engineering,Environmental Engineers,0.018
103,17-2111,Architecture - Engineering,Health and Safety Engineers - Except Mining Safety Engineers and Inspectors,0.028
104,17-2112,Architecture - Engineering,Industrial Engineers,0.029
51,17-2121,Architecture - Engineering,Marine Engineers and Naval Architects,0.01
88,17-2131,Architecture - Engineering,Materials Engineers,0.021
53,17-2141,Architecture - Engineering,Mechanical Engineers,0.011
189,17-2151,Architecture - Engineering,Mining and Geological Engineers - Including Mining Safety Engineers,0.14
153,17-2161,Architecture - Engineering,Nuclear Engineers,0.07
193,17-2171,Architecture - Engineering,Petroleum Engineers,0.16
63,17-2199,Architecture - Engineering,Engineers - All Other,0.014
305,17-3011,Architecture - Engineering,Architectural and Civil Drafters,0.52
443,17-3012,Architecture - Engineering,Electrical and Electronics Drafters,0.81
378,17-3013,Architecture - Engineering,Mechanical Drafters,0.68
290,17-3021,Architecture - Engineering,Aerospace Engineering and Operations Technicians,0.48
413,17-3022,Architecture - Engineering,Civil Engineering Technicians,0.75
474,17-3023,Architecture - Engineering,Electrical and Electronics Engineering Technicians,0.84
444,17-3024,Architecture - Engineering,Electro-Mechanical Technicians,0.81
225,17-3025,Architecture - Engineering,Environmental Engineering Technicians,0.25
108,17-3026,Architecture - Engineering,Industrial Engineering Technicians,0.03
