rank,code,occupation_classification,probability
1,29-1125,Health Care - Technical,0.0028
2,49-1011,Installation - Maintenance - Repair,0.003
3,11-9161,Management,0.003
4,21-1023,Community - Social Services,0.0031
5,29-1181,Health Care - Technical,0.0033
6,29-1122,Health Care - Technical,0.0035
7,29-2091,Health Care - Technical,0.0035
8,21-1022,Community - Social Services,0.0035
9,29-1022,Health Care - Technical,0.0036
10,33-1021,Protective Services,0.0036
11,29-1031,Health Care - Technical,0.0039
12,11-9081,Management,0.0039
13,27-2032,Art - Design - Media - Sports,0.004
14,41-9031,Sales,0.0041
15,29-106,Health Care - Technical,0.0042
16,25-9031,Educational - Library,0.0042
17,19-3039,Life - Physical - Social Science,0.0043
18,33-1012,Protective Services,0.0044
19,29-1021,Health Care - Technical,0.0044
20,25-2021,Educational - Library,0.0044
21,19-1042,Life - Physical - Social Science,0.0045
22,11-9032,Management,0.0046
23,29-1081,Health Care - Technical,0.0046
24,19-3031,Life - Physical - Social Science,0.0047
25,21-1014,Community - Social Services,0.0048
26,51-6092,Production,0.0049
27,27-1027,Art - Design - Media - Sports,0.0055
28,11-3121,Management,0.0055
29,39-9032,Personal Care - Service,0.0061
30,11-3131,Management,0.0063
31,29-1127,Health Care - Technical,0.0064
32,15-1121,Computer - Mathematical,0.0065
33,11-9151,Management,0.0067
34,25-4012,Educational - Library,0.0068
35,29-9091,Health Care - Technical,0.0071
36,11-9111,Management,0.0073
37,25-2011,Educational - Library,0.0074
38,25-9021,Educational - Library,0.0075
39,19-3091,Life - Physical - Social Science,0.0077
40,25-2054,Educational - Library,0.0077
41,25-2031,Educational - Library,0.0078
42,21-2011,Community - Social Services,0.0081
43,19-1032,Life - Physical - Social Science,0.0081
44,21-1012,Community - Social Services,0.0085
45,25-2032,Educational - Library,0.0088
46,29-1111,Health Care - Technical,0.009
47,21-1015,Community - Social Services,0.0094
48,25-3999,Educational - Library,0.0095
49,19-4092,Life - Physical - Social Science,0.0095
50,39-5091,Personal Care - Service,0.01
51,17-2121,Architecture - Engineering,0.01
52,11-9033,Management,0.01
53,17-2141,Architecture - Engineering,0.011
54,29-1051,Health Care - Technical,0.012
55,13-1081,Business - Financial Operations,0.012
56,19-1022,Life - Physical - Social Science,0.012
57,19-3032,Life - Physical - Social Science,0.012
58,27-2022,Art - Design - Media - Sports,0.013
59,11-2022,Management,0.013
60,19-2043,Life - Physical - Social Science,0.014
61,11-2021,Management,0.014
62,21-1013,Community - Social Services,0.014
63,17-2199,Architecture - Engineering,0.014
64,13-1151,Business - Financial Operations,0.014
65,43-1011,Office - Administrative Support,0.014
66,19-1029,Life - Physical - Social Science,0.015
67,11-2031,Management,0.015
68,27-1014,Art - Design - Media - Sports,0.015
69,15-1111,Computer - Mathematical,0.015
70,11-1011,Management,0.015
71,11-9031,Management,0.015
72,27-2041,Art - Design - Media - Sports,0.015
73,51-1011,Production,0.016
74,41-3031,Sales,0.016
75,19-1031,Life - Physical - Social Science,0.016
76,25-2053,Educational - Library,0.016
77,17-2041,Architecture - Engineering,0.017
78,11-9041,Management,0.017
79,17-2011,Architecture - Engineering,0.017
80,11-9121,Management,0.018
81,17-2081,Architecture - Engineering,0.018
82,17-1011,Architecture - Engineering,0.018
83,31-2021,Healthcare Support,0.018
84,17-2051,Architecture - Engineering,0.019
85,29-1199,Health Care - Technical,0.02
86,19-1013,Life - Physical - Social Science,0.021
87,19-2032,Life - Physical - Social Science,0.021
88,17-2131,Architecture - Engineering,0.021
89,27-1022,Art - Design - Media - Sports,0.021
90,29-1123,Health Care - Technical,0.021
91,27-4021,Art - Design - Media - Sports,0.021
92,27-2012,Art - Design - Media - Sports,0.022
93,27-1025,Art - Design - Media - Sports,0.022
94,29-1023,Health Care - Technical,0.023
95,27-1011,Art - Design - Media - Sports,0.023
96,33-1011,Protective Services,0.025
97,21-2021,Community - Social Services,0.025
98,17-2072,Architecture - Engineering,0.025
99,19-1021,Life - Physical - Social Science,0.027
100,29-1011,Health Care - Technical,0.027
101,31-2011,Healthcare Support,0.028
102,21-1021,Community - Social Services,0.028
103,17-2111,Architecture - Engineering,0.028
104,17-2112,Architecture - Engineering,0.029
105,53-1031,Transportation - Material Moving,0.029
106,29-2056,Health Care - Technical,0.029
107,11-3051,Management,0.03
108,17-3026,Architecture - Engineering,0.03
109,15-1142,Computer - Mathematical,0.03
110,15-1141,Computer - Mathematical,0.03
111,11-3061,Management,0.03
112,25-100,Educational - Library,0.032
113,19-2041,Life - Physical - Social Science,0.033
114,21-1011,Community - Social Services,0.033
115,23-1011,Legal,0.035
116,27-1012,Art - Design - Media - Sports,0.035
117,15-2031,Computer - Mathematical,0.035
118,11-3021,Management,0.035
119,27-1021,Art - Design - Media - Sports,0.037
120,17-2031,Architecture - Engineering,0.037
121,13-1121,Business - Financial Operations,0.037
122,29-1131,Health Care - Technical,0.038
123,27-3043,Art - Design - Media - Sports,0.038
124,11-2011,Management,0.039
125,19-3094,Life - Physical - Social Science,0.039
126,13-2071,Business - Financial Operations,0.04
127,19-3099,Life - Physical - Social Science,0.04
128,19-2011,Life - Physical - Social Science,0.041
129,53-5031,Transportation - Material Moving,0.041
130,15-1132,Computer - Mathematical,0.042
131,27-1013,Art - Design - Media - Sports,0.042
132,29-2053,Health Care - Technical,0.043
133,17-1012,Architecture - Engineering,0.045
134,21-1091,Community - Social Services,0.045
135,15-2021,Computer - Mathematical,0.047
136,27-1023,Art - Design - Media - Sports,0.047
137,11-9013,Management,0.047
138,33-2022,Protective Services,0.048
139,29-2041,Health Care - Technical,0.049
140,27-3041,Art - Design - Media - Sports,0.055
141,29-1024,Health Care - Technical,0.055
142,29-9799,Health Care - Technical,0.055
143,39-7012,Personal Care - Service,0.057
144,29-2061,Health Care - Technical,0.058
145,19-3041,Life - Physical - Social Science,0.059
146,23-1022,Legal,0.06
147,19-1011,Life - Physical - Social Science,0.061
148,39-9041,Personal Care - Service,0.064
149,53-1011,Transportation - Material Moving,0.066
150,29-1126,Health Care - Technical,0.066
151,27-3021,Art - Design - Media - Sports,0.067
152,11-3031,Management,0.069
153,17-2161,Architecture - Engineering,0.07
154,11-9021,Management,0.071
155,27-2042,Art - Design - Media - Sports,0.074
156,41-1012,Sales,0.075
157,39-1021,Personal Care - Service,0.076
158,19-1012,Life - Physical - Social Science,0.077
159,13-1041,Business - Financial Operations,0.08
160,33-3031,Protective Services,0.08
161,27-1024,Art - Design - Media - Sports,0.082
162,11-9051,Management,0.083
163,39-9011,Personal Care - Service,0.084
164,39-9031,Personal Care - Service,0.085
165,11-9071,Management,0.091
166,49-9051,Installation - Maintenance - Repair,0.097
167,33-3051,Protective Services,0.098
168,41-3041,Sales,0.099
169,35-1011,Food Preparation,0.1
170,39-2011,Personal Care - Service,0.1
171,27-3011,Art - Design - Media - Sports,0.1
172,17-2071,Architecture - Engineering,0.1
173,19-2031,Life - Physical - Social Science,0.1
174,29-2054,Health Care - Technical,0.1
175,19-2012,Life - Physical - Social Science,0.1
176,39-5012,Personal Care - Service,0.11
177,27-3022,Art - Design - Media - Sports,0.11
178,53-2021,Transportation - Material Moving,0.11
179,27-2031,Art - Design - Media - Sports,0.13
180,29-2033,Health Care - Technical,0.13
181,15-1133,Computer - Mathematical,0.13
182,13-1111,Business - Financial Operations,0.13
183,29-2051,Health Care - Technical,0.13
184,19-3051,Life - Physical - Social Science,0.13
185,21-1093,Community - Social Services,0.13
186,25-3021,Educational - Library,0.13
187,27-4014,Art - Design - Media - Sports,0.13
188,29-1041,Health Care - Technical,0.14
189,17-2151,Architecture - Engineering,0.14
190,29-1071,Health Care - Technical,0.14
